216*{'text': 'The year 216.', 'self': True}
216*{'text': 'The 216 colors formed by a 6×6×6 color cube are sometimes known as the web-safe color palette.', 'self': True}
216*{'text': "ISO 216 is the ISO's standard for paper sizes.", 'self': True}
216*{'text': 'In the film Pi, Max becomes obsessed with a 216-digit number in his quest to find the numeric equation behind existence, and is told by a group of Hasidic Jews that it represents the true name of God.', 'self': True}
216*{'text': 'As six cubed (6*6*6), 216 is also symbolic of the Mark of the Beast in Christianity.', 'self': True}
216*{'text': 'According to the Ken Burns series Baseball, it is the number of stitches on a baseball.', 'self': False}
217*{'text': 'The year 217.', 'self': True}
217*{'text': '217 is the area code for central Illinois.', 'self': True}
217*{'text': 'In Stephen King\'s novel "The Shining", room 217 plays a central part of the story as it is haunted.', 'self': True}
217*{'text': 'When read upside-down on a digital clock, it appears to say "LIZ".', 'self': False}
214*{'text': '214 is a song by Rivermaya.', 'self': True}
214*{'text': '214 Aschera is a Main belt asteroid.', 'self': True}
214*{'text': 'E214 is the E number of Ethylparaben.', 'self': True}
214*{'text': 'The Bell 214 is a helicopter.', 'self': True}
214*{'text': 'The Tupolev 214 is an airliner.', 'self': True}
214*{'text': 'There are several highways numbered 214.', 'self': True}
214*{'text': 'Form DD 214 documents discharge from the U.S. Armed Forces.', 'self': True}
214*{'text': 'The first area code of metropolitan Dallas, Texas.', 'self': False}
214*{'text': 'The number of Chinese radicals for the writing of Chinese characters according to the 1716 Kangxi Dictionary.', 'self': False}
214*{'text': 'SMTP status code for help message.', 'self': False}
214*{'text': 'The Dewey Decimal Classification for Theodicy (the problem of evil).', 'self': False}
214*{'text': 'The year AD 214 or 214 BC.', 'self': True}
215*{'text': '215 Oenone is a Main belt asteroid.', 'self': True}
215*{'text': 'E215 is the E number of Sodium ethyl para-hydroxybenzoate.', 'self': True}
215*{'text': 'There are several highways numbered 215.', 'self': True}
215*{'text': 'The Dewey Decimal Classification for Science and religion.', 'self': False}
215*{'text': 'The year AD 215 or 215 BC.', 'self': True}
215*{'text': '215 is often used as slang for marijuana, from California Proposition 215, legalizing it for medical use.', 'self': True}
212*{'text': 'Area code 212, the telephone area code for Manhattan, one of the original area codes, and considered the most coveted in America.', 'self': True}
212*{'text': '"212" (song), a 2011 song by Harlem rapper Azealia Banks.', 'self': True}
212*{'text': '212 Medea, a very large Main belt asteroid.', 'self': True}
212*{'text': 'Bell 212 helicopter.', 'self': True}
212*{'text': 'Type 212 submarine.', 'self': True}
212*{'text': '212, a fragrance by Carolina Herrera.', 'self': True}
212*{'text': 'Unit 212, an Israeli commando unit also known as Maglan.', 'self': True}
213*{'text': 'Area code 213 is one of the first three area codes created in California.', 'self': True}
213*{'text': '213 Lilaea is a main belt asteroid.', 'self': True}
213*{'text': '213 was the name of a hip hop group, active 1990-2004.', 'self': True}
213*{'text': '213 is the code for character "Õ" in codepages such as ISO-8859-1 and UTF-8.', 'self': True}
213*{'text': 'Radical 213 meaning "turtle" is one of only two of the 214 Kangxi radicals that are composed of 16 strokes.', 'self': True}
228*{'text': '228 Incident.', 'self': True}
228*{'text': 'Area code 228.', 'self': True}
228*{'text': 'The years 220 AD and 220 BC.', 'self': False}
228*{'text': 'A common voltage in many countries.', 'self': False}
228*{'text': 'An SMTP code meaning "service ready".', 'self': False}
228*{'text': 'A series of garden tractors produced by Case (and later by Case IH) in the 1970s and 1980s - the series included the 220(10HP), the 222(12HP) and the 224(14HP).', 'self': False}
228*{'text': 'A film format for medium format cameras (see 120 film).', 'self': False}
228*{'text': 'A single by music duo t.A.T.u.', 'self': False}
228*{'text': 'An album by guitarist Phil Keaggy.', 'self': False}
228*{'text': 'The InterCity 225 train, a newer version of the InterCity 125.', 'self': False}
219*{'text': '.219 Zipper, a rifle cartridge.', 'self': True}
219*{'text': '219 Days, a music album.', 'self': True}
219*{'text': 'Case 219, a film.', 'self': True}
219*{'text': 'Substation 219, a historic building in Harlem, New York.', 'self': True}
219*{'text': 'List of highways numbered 219.', 'self': True}
270*{'text': 'The year 270 BC.', 'self': True}
270*{'text': 'The year 270 AD.', 'self': True}
270*{'text': 'The caliber of the .270 Winchester rifle.', 'self': True}
270*{'text': 'The number of U.S.', 'self': False}
270*{'text': 'The average number of days in human pregnancy.', 'self': False}
270*{'text': 'A pseudonym for Konami musician Naoki Maeda.', 'self': False}
270*{'text': 'Two hundred seventy-one prime, twin prime with 269, cuban prime, centered hexagonal number, sum of eleven consecutive primes (7 + 11 + 13 + 17 + 19 + 23 + 29 + 31 + 37 + 41 + 43).', 'self': True}
270*{'text': 'Two hundred seventy-two 272 = 24·17, sum of four consecutive primes (61 + 67 + 71 + 73), Euler number, primitive semiperfect number, pronic number.', 'self': True}
270*{'text': 'Two hundred seventy-three has its own article.', 'self': True}
270*{'text': 'Two hundred seventy-four = 2·137, tribonacci number, Smith number, nontotient, noncototient, centered triangular number.', 'self': True}
270*{'text': 'Two hundred seventy-five 275 = 52·11.', 'self': True}
270*{'text': 'Two hundred seventy-six has its own article.', 'self': True}
270*{'text': 'Two hundred seventy-seven Perrin number, self number.', 'self': True}
270*{'text': 'Two hundred seventy-eight 278 = 2·139, nontotient.', 'self': True}
270*{'text': 'Two hundred seventy-nine 279 = 32·31 Every positive integer is the sum of at most 279 eighth powers.', 'self': True}
271*{'text': 'The year 270 BC.', 'self': False}
271*{'text': 'The year 270 AD.', 'self': False}
271*{'text': 'The caliber of the .270 Winchester rifle.', 'self': False}
271*{'text': 'The number of U.S.', 'self': False}
271*{'text': 'The average number of days in human pregnancy.', 'self': False}
271*{'text': 'A pseudonym for Konami musician Naoki Maeda.', 'self': False}
271*{'text': 'Two hundred seventy-one prime, twin prime with 269, cuban prime, centered hexagonal number, sum of eleven consecutive primes (7 + 11 + 13 + 17 + 19 + 23 + 29 + 31 + 37 + 41 + 43).', 'self': True}
271*{'text': 'Two hundred seventy-two 272 = 24·17, sum of four consecutive primes (61 + 67 + 71 + 73), Euler number, primitive semiperfect number, pronic number.', 'self': False}
271*{'text': 'Two hundred seventy-three has its own article.', 'self': False}
271*{'text': 'Two hundred seventy-four = 2·137, tribonacci number, Smith number, nontotient, noncototient, centered triangular number.', 'self': False}
271*{'text': 'Two hundred seventy-five 275 = 52·11.', 'self': False}
271*{'text': 'Two hundred seventy-six has its own article.', 'self': False}
271*{'text': 'Two hundred seventy-seven Perrin number, self number.', 'self': False}
271*{'text': 'Two hundred seventy-eight 278 = 2·139, nontotient.', 'self': False}
271*{'text': 'Two hundred seventy-nine 279 = 32·31 Every positive integer is the sum of at most 279 eighth powers.', 'self': False}
272*{'text': 'The year 270 BC.', 'self': False}
272*{'text': 'The year 270 AD.', 'self': False}
272*{'text': 'The caliber of the .270 Winchester rifle.', 'self': False}
272*{'text': 'The number of U.S.', 'self': False}
272*{'text': 'The average number of days in human pregnancy.', 'self': False}
272*{'text': 'A pseudonym for Konami musician Naoki Maeda.', 'self': False}
272*{'text': 'Two hundred seventy-one prime, twin prime with 269, cuban prime, centered hexagonal number, sum of eleven consecutive primes (7 + 11 + 13 + 17 + 19 + 23 + 29 + 31 + 37 + 41 + 43).', 'self': False}
272*{'text': 'Two hundred seventy-two 272 = 24·17, sum of four consecutive primes (61 + 67 + 71 + 73), Euler number, primitive semiperfect number, pronic number.', 'self': True}
272*{'text': 'Two hundred seventy-three has its own article.', 'self': False}
272*{'text': 'Two hundred seventy-four = 2·137, tribonacci number, Smith number, nontotient, noncototient, centered triangular number.', 'self': False}
272*{'text': 'Two hundred seventy-five 275 = 52·11.', 'self': False}
272*{'text': 'Two hundred seventy-six has its own article.', 'self': False}
272*{'text': 'Two hundred seventy-seven Perrin number, self number.', 'self': False}
272*{'text': 'Two hundred seventy-eight 278 = 2·139, nontotient.', 'self': False}
272*{'text': 'Two hundred seventy-nine 279 = 32·31 Every positive integer is the sum of at most 279 eighth powers.', 'self': False}
273*{'text': 'The zero of the Celsius temperature scale is (to the nearest whole number) 273 Kelvin.', 'self': True}
273*{'text': "American composer John Cage's piano composition 4′33″ consists of 273 seconds (four minutes and 33 seconds) of silence, in three movements.", 'self': True}
273*{'text': 'The year AD 273 and 273 BC.', 'self': True}
273*{'text': 'The death toll of the air crash of American Airlines Flight 191 is 273 people (271 on board,2 on ground).', 'self': True}
275*{'text': 'The year 270 BC.', 'self': False}
275*{'text': 'The year 270 AD.', 'self': False}
275*{'text': 'The caliber of the .270 Winchester rifle.', 'self': False}
275*{'text': 'The number of U.S.', 'self': False}
275*{'text': 'The average number of days in human pregnancy.', 'self': False}
275*{'text': 'A pseudonym for Konami musician Naoki Maeda.', 'self': False}
275*{'text': 'Two hundred seventy-one prime, twin prime with 269, cuban prime, centered hexagonal number, sum of eleven consecutive primes (7 + 11 + 13 + 17 + 19 + 23 + 29 + 31 + 37 + 41 + 43).', 'self': False}
275*{'text': 'Two hundred seventy-two 272 = 24·17, sum of four consecutive primes (61 + 67 + 71 + 73), Euler number, primitive semiperfect number, pronic number.', 'self': False}
275*{'text': 'Two hundred seventy-three has its own article.', 'self': False}
275*{'text': 'Two hundred seventy-four = 2·137, tribonacci number, Smith number, nontotient, noncototient, centered triangular number.', 'self': False}
275*{'text': 'Two hundred seventy-five 275 = 52·11.', 'self': True}
275*{'text': 'Two hundred seventy-six has its own article.', 'self': False}
275*{'text': 'Two hundred seventy-seven Perrin number, self number.', 'self': False}
275*{'text': 'Two hundred seventy-eight 278 = 2·139, nontotient.', 'self': False}
275*{'text': 'Two hundred seventy-nine 279 = 32·31 Every positive integer is the sum of at most 279 eighth powers.', 'self': False}
276*{'text': 'The years 276 and 276 BC.', 'self': True}
276*{'text': 'List of highways numbered 276.', 'self': True}
276*{'text': 'The asteroid 276 Adelheid.', 'self': True}
276*{'text': 'United Nations Security Council Resolution 276.', 'self': True}
277*{'text': 'The year 277 or 277 BC.', 'self': True}
277*{'text': 'The asteroid 277 Elvira.', 'self': True}
235*{'text': 'The atomic mass number of an important isotope of the element uranium, U-235, the fissile isotope which is used as the fuel for nuclear reactors and in some nuclear weapons.', 'self': True}
235*{'text': 'The number of three interstate highways in the United States, located in the states of Iowa, Kansas, and Oklahoma.', 'self': False}
235*{'text': 'The year 235 A.D., a year in which a new emperor of the Roman Empire was crowned.', 'self': True}
236*{'text': 'A common voltage in the European Union.', 'self': False}
236*{'text': 'The year A.D. 230 or 230 BC.', 'self': False}
236*{'text': '+230 is the country code for Mauritius.', 'self': False}
251*{'text': '2-5-1 is a common chord progression in jazz music.', 'self': False}
251*{'text': 'Vermont 251 Club is a club in which members try to visit each of the 251 towns and cities of Vermont.', 'self': True}
251*{'text': 'The number of Pokémon available in Pokémon Gold and Silver is 251.', 'self': True}
251*{'text': "251 is a title of a play based on Annabel Chong story, who became famous for engaging in 251 sex acts over a ten hour period in January 1995, setting a world record as the world's biggest gang bang.", 'self': True}
251*{'text': 'The 251 is the last and most powerful prime mover (engine) designed and built by the American Locomotive Company (ALCO).', 'self': True}
230*{'text': 'A common voltage in the European Union.', 'self': False}
230*{'text': 'The year A.D. 230 or 230 BC.', 'self': True}
230*{'text': '+230 is the country code for Mauritius.', 'self': True}
231*{'text': 'A common voltage in the European Union.', 'self': False}
231*{'text': 'The year A.D. 230 or 230 BC.', 'self': False}
231*{'text': '+230 is the country code for Mauritius.', 'self': False}
232*{'text': 'A common voltage in the European Union.', 'self': False}
232*{'text': 'The year A.D. 230 or 230 BC.', 'self': False}
232*{'text': '+230 is the country code for Mauritius.', 'self': False}
255*{'text': 'That can be assigned to elements in the 24-bit RGB color model, since each color channel is allotted eight bits.', 'self': False}
